Sample	alt_0	alt_1
0391f489-5ea7-4736-8e75-209b80581f45	0+0,0;0	0+0,0;0
053f3afd-d4c5-4bfe-8738-8277ed9faca3	0+0,0;0	0+0,0;0
06f966ff-97cc-4ee1-be47-791b2b67741c	0+0,0;0	0+0,0;0
078504c4-783c-4224-9ea7-abadee6f5adf	1+0,0;1	0+0,0;0
09cd6ea7-f60c-411b-83da-d405343ff17a	2+0,0;0	0+0,0;0
0eb9e252-5dd9-48ab-8a2a-7ae094943276	1+0,0;0	0+0,0;0
11a28b58-cc98-47dc-8652-dbb774c21a81	0+0,0;3	0+0,0;0
139a772d-8cf3-47d0-a91c-f8bb1c83d466	0+0,0;0	0+0,0;0
1732f069-127e-4571-8373-956eceefdf36	0+0,0;0	0+0,0;0
1735747b-3f73-4a37-9ec3-4e03b7eca09a	0+0,0;0	0+0,0;0
1955d06c-f79a-42c1-8e83-d764b5b489f5	0+0,0;0	0+0,0;0
1c732ca5-2b32-49da-955b-982b4e240647	1+0,0;2	0+0,0;0
1dce3e81-f91c-4ec6-86b2-820cf4c33cdd	0+0,0;0	0+0,0;0
1df49645-ac59-4768-a407-eb58a91d3607	0+0,0;0	0+0,0;0
1f13db5b-473a-40d5-bfc7-7a45760d8960	0+0,0;0	0+0,0;0
23442b8a-c285-4301-bcc1-4c4919e317a6	0+0,0;0	0+0,0;0
241bd74b-e68b-43ba-aa95-50ccbd588244	0+0,0;0	0+0,0;0
24410bda-a687-4627-b15b-0bb621c02995	0+0,0;0	0+0,0;0
24909548-0312-4229-8f08-c42058e70919	0+0,0;2	0+0,0;0
24e84f37-7167-48ff-9b2d-0e9c4144c88b	1+0,0;0	0+0,0;0
2593c05a-cc77-46d5-b2d2-51485fd6a221	12+0,0;8	0+0,0;0
2d2ac5df-9bf6-4785-9ef6-2078bd4745f8	0+0,0;0	0+0,0;0
2f6845be-dfe2-49c6-b7e8-54d084042928	0+0,0;3	0+0,0;0
30890e22-cb6c-4b47-9740-2c5302aacc16	3+0,0;0	0+0,0;0
3197a35c-e487-436c-b1c7-572b8d1c6712	0+0,0;0	0+0,0;0
32f117dd-d9b3-4dcb-a46d-f6e7bb8ad073	0+0,0;0	0+0,0;0
35bc227a-7c6b-40c2-bdee-19fa54bc7208	0+0,0;0	0+0,0;0
37c7c8b0-8b6e-4a0b-bd84-d35e1624f2bc	3+0,0;0	0+0,0;0
387b9809-1f21-45b0-bc61-d8151446f0e6	0+0,0;0	0+0,0;0
3a1fd242-b29f-44df-8e95-3561b2f0c872	0+0,0;0	0+0,0;0
3a564ae8-c0a5-4480-a1a5-e5e653e8a423	0+0,0;0	0+0,0;0
3b778d7e-de95-4e33-8ff8-af66050840e9	0+0,0;0	0+0,0;0
3dce6515-9aa2-4d9d-a3dd-e3ef7dbf0350	0+0,0;0	0+0,0;0
3e7d06cd-4157-466e-8498-bd680e1622a7	1+0,0;0	0+0,0;0
3fc3b2d2-7863-4097-b456-85359ec9debe	0+0,0;2	0+0,0;0
404238d8-73a2-47f1-b5c2-cee6dd1aa1b5	0+0,0;0	0+0,0;0
40b166f5-9eab-4bdf-9b48-77355eb9b394	3+0,0;2	1+0,0;0
40d76b51-fd41-40ee-b699-4b2b6e619db8	0+0,0;0	0+0,0;0
41b024a6-3c26-4f5e-a0ee-ebf653a3630d	0+0,0;0	0+0,0;0
42759c52-9e17-4d39-8629-e375d37897b9	0+0,0;0	0+0,0;0
42a9cbc2-2d41-43a5-847a-9d89a06118ef	0+0,0;0	0+0,0;0
4385af9f-264c-42c9-8c7c-ef4cc8a9ac4f	0+0,0;0	0+0,0;0
4753ede0-b1a8-4b75-9b96-b9914fe0e043	0+0,0;0	0+0,0;0
4945293b-1af6-470d-88c9-a9c7f2256ebd	0+0,0;0	0+0,0;0
4aa3c329-378f-4d5e-b579-d0c0c045c6f2	0+0,0;0	0+0,0;0
4c8232c6-bdab-47d1-948d-8d95a57985b1	4+0,0;2	0+0,0;0
4e42785e-6633-407d-afc6-848710e6f34e	1+0,1;0	0+0,0;0
4eb8bd23-a365-4acb-b568-608dfd80caeb	0+0,0;0	0+0,0;0
50903096-e9e2-4d0b-8db0-3697e03bbdfc	0+0,0;1	0+0,0;0
534dd716-840d-474c-9164-7b08ee0da4a0	0+0,0;0	0+0,0;0
54c4c8f4-ec93-490b-89eb-ee85827ef197	0+0,0;0	0+0,0;0
54d2a8e7-5005-4c1d-a005-6e7ab3f18bb3	1+0,0;0	0+0,0;0
54e15dd0-a7cf-4846-babf-5614868822f6	0+0,0;0	0+0,0;0
5538d892-b756-44c5-a671-cd8356e3286d	0+0,0;0	0+0,0;0
560966f3-5448-4d77-89f8-1e82e5337e15	0+0,0;0	0+0,0;0
59cd7568-f280-4aa9-8155-756fd2c042ec	0+0,0;0	0+0,0;0
5c27c51a-8a49-4ff8-b401-c2ef4bdc289b	0+0,0;0	0+0,0;0
65a77810-c55d-4a10-be3d-e6381b708ca2	0+0,0;0	0+0,0;0
664fd26e-72e4-4266-a1b8-37746de1791b	0+0,0;0	0+0,0;0
68e49350-302c-4a3a-b086-a7e8a327a3d1	0+0,0;0	0+0,0;0
68f72c26-3ff9-4b4f-bb18-33be031389fd	1+0,0;0	0+0,0;0
69e377c9-22c6-4dff-b968-ae19217ff09c	3+0,0;2	0+0,0;0
